,Year,Month,InflationRate,GasPrice,Sales,NetIncome,Assets,Equity,Volume,AdjustedClose,Date,AdjustedCloseChange,RegSales,GallonsSold,DateYM
80,2006,9,2.1,2.606,17659.0,1672.33,134120.0,69600.0,196.6298,35.5389,2006-09-01,0.7141460428657496,52.977,20,2006-09
81,2006,10,1.3,2.293,15412.67,1257.33,132630.0,68940.0,198.8434,36.8211,2006-10-01,3.6078775651469357,46.23801,20,2006-10
82,2006,11,2.0,2.275,15412.67,1257.33,132630.0,68940.0,185.4344,39.9211,2006-11-01,8.419085795915919,46.23801,20,2006-11
83,2006,12,2.5,2.359,15412.67,1257.33,132630.0,68940.0,152.6107,40.589,2006-12-01,1.6730500913051003,46.23801,19,2006-12
84,2007,1,2.1,2.289,15434.0,1571.67,136010.0,71460.0,192.7324,40.2302,2007-01-01,-0.8839833452413188,46.302,20,2007-01
85,2007,2,2.4,2.323,15434.0,1571.67,136010.0,71460.0,183.7378,38.0959,2007-02-01,-5.305218467718291,46.302,19,2007-02
86,2007,3,2.8,2.609,15434.0,1571.67,136010.0,71460.0,236.5395,41.1205,2007-03-01,7.939437052281221,46.302,17,2007-03
87,2007,4,2.6,2.891,18114.67,1793.33,139610.0,74180.0,181.4812,43.2499,2007-04-01,5.178438978125271,54.34401,18,2007-04
88,2007,5,2.7,3.187,18114.67,1793.33,139610.0,74180.0,204.3636,45.6325,2007-05-01,5.508914471478562,54.34401,17,2007-05
89,2007,6,2.7,3.102,18114.67,1793.33,139610.0,74180.0,195.0628,47.1725,2007-06-01,3.3747877061304905,54.34401,17,2007-06
90,2007,7,2.4,3.011,17848.33,1239.33,139560.0,74950.0,235.4959,47.7436,2007-07-01,1.2106629922094498,53.544990000000006,17,2007-07
91,2007,8,2.0,2.834,17848.33,1239.33,139560.0,74950.0,292.0875,49.4965,2007-08-01,3.671486858971676,53.544990000000006,18,2007-08
92,2007,9,2.8,2.849,17848.33,1239.33,139560.0,74950.0,184.6327,52.779,2007-09-01,6.6317820451951235,53.544990000000006,18,2007-09
93,2007,10,3.5,2.853,19966.67,1625.0,148790.0,77090.0,212.3376,51.6115,2007-10-01,-2.21205403664338,59.900009999999995,20,2007-10
94,2007,11,4.3,3.128,19966.67,1625.0,148790.0,77090.0,230.7902,49.8354,2007-11-01,-3.441287309998742,59.900009999999995,19,2007-11
95,2007,12,4.1,3.07,19966.67,1625.0,148790.0,77090.0,161.8289,52.9924,2007-12-01,6.334854340488903,59.900009999999995,19,2007-12
96,2008,1,4.3,3.095,21553.0,1722.67,152850.0,79210.0,280.7713,47.269,2008-01-01,-10.800416663521574,64.659,20,2008-01
97,2008,2,4.0,3.078,21553.0,1722.67,152850.0,79210.0,244.7624,49.5527,2008-02-01,4.831284774376442,64.659,21,2008-02
98,2008,3,4.0,3.293,21553.0,1722.67,152850.0,79210.0,256.2393,48.8093,2008-03-01,-1.5002209768589836,64.659,19,2008-03
99,2008,4,3.9,3.507,26987.33,1991.67,163070.0,82270.0,236.0556,54.9791,2008-04-01,12.640623815543364,80.96199,23,2008-04
100,2008,5,4.2,3.815,26987.33,1991.67,163070.0,82270.0,278.3812,57.0687,2008-05-01,3.8007169997326145,80.96199,21,2008-05
